jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
GEORGIA,False,2002,47445,False,False,8544005.0,39271.0,606.0,2108.0,,13432.0,23125.0,346559.0,73932.0,234591.0,38036.0
HAWAII,True,2002,5069,False,False,1240663.0,3262.0,24.0,372.0,,1210.0,1656.0,71976.0,12722.0,49344.0,9910.0
IDAHO,False,2002,5451,False,False,1343124.0,3419.0,36.0,497.0,,240.0,2646.0,39128.0,7441.0,29060.0,2627.0
ILLINOIS,False,2002,42693,False,True,12586447.0,75759.0,961.0,4370.0,,25314.0,45114.0,430479.0,81440.0,304227.0,44812.0
INDIANA,False,2002,20349,False,False,6156913.0,22001.0,362.0,1843.0,,6612.0,13184.0,208965.0,42605.0,146073.0,20287.0
IOWA,False,2002,8398,False,False,2935840.0,8388.0,44.0,797.0,,1169.0,6378.0,92877.0,18643.0,68411.0,5823.0
KANSAS,False,2002,8967,False,False,2711769.0,10229.0,78.0,1035.0,,2165.0,6951.0,100768.0,19679.0,73877.0,7212.0
KENTUCKY,False,2002,11583,False,True,4089822.0,11101.0,191.0,1087.0,,3131.0,6692.0,108590.0,26891.0,72378.0,9321.0
LOUISIANA,False,2002,20010,False,False,4476192.0,29690.0,593.0,1529.0,,7123.0,20445.0,198838.0,45350.0,133302.0,20186.0
MAINE,False,2002,1855,False,False,1294894.0,1396.0,14.0,377.0,,270.0,735.0,32985.0,6965.0,24591.0,1429.0
MARYLAND,False,2002,24114,False,False,5450525.0,42015.0,513.0,1370.0,,13417.0,26715.0,217105.0,39765.0,143320.0,34020.0
MASSACHUSETTS,False,2002,9879,False,False,6421800.0,31137.0,173.0,1777.0,,7169.0,22018.0,167753.0,33243.0,107922.0,26588.0
MICHIGAN,False,2002,50591,False,False,10043221.0,54306.0,678.0,5364.0,,11847.0,36417.0,335060.0,70970.0,214367.0,49723.0
MINNESOTA,False,2002,6855,False,False,5024791.0,13428.0,112.0,2273.0,,3937.0,7106.0,164026.0,28034.0,122150.0,13842.0
MISSISSIPPI,False,2002,15355,False,False,2866733.0,9858.0,264.0,1127.0,,3356.0,5111.0,109584.0,29593.0,70468.0,9523.0
MISSOURI,False,2002,29795,False,False,5669544.0,30557.0,331.0,1465.0,,7024.0,21737.0,230520.0,42721.0,159921.0,27878.0
MONTANA,False,2002,2870,False,False,910372.0,3197.0,16.0,237.0,,283.0,2661.0,28751.0,3289.0,23679.0,1783.0
NEBRASKA,False,2002,4048,False,False,1727564.0,5428.0,48.0,464.0,,1359.0,3557.0,68178.0,10329.0,51440.0,6409.0
NEVADA,False,2002,10101,False,False,2167455.0,13856.0,181.0,928.0,,5118.0,7629.0,83896.0,18951.0,47459.0,17486.0
NEW HAMPSHIRE,False,2002,2475,False,False,1274405.0,2056.0,12.0,446.0,,413.0,1185.0,26250.0,4838.0,19468.0,1944.0
NEW JERSEY,False,2002,26301,False,False,8575252.0,32252.0,339.0,1365.0,,13955.0,16593.0,227715.0,43899.0,148061.0,35755.0
NEW MEXICO,False,2002,5991,False,False,1852044.0,13719.0,152.0,1027.0,,2206.0,10334.0,80477.0,19634.0,53406.0,7437.0
NEW YORK,False,2002,66925,False,False,19134293.0,95030.0,909.0,3885.0,,36653.0,53583.0,442091.0,76700.0,318025.0,47366.0
NORTH CAROLINA,False,2002,32918,False,False,8305820.0,39118.0,548.0,2196.0,,12205.0,24169.0,353708.0,99535.0,229307.0,24866.0
NORTH DAKOTA,False,2002,1117,False,False,633911.0,496.0,5.0,163.0,,58.0,270.0,14762.0,2243.0,11501.0,1018.0
OHIO,False,2002,45284,False,False,11408699.0,40128.0,526.0,4809.0,,17871.0,16922.0,428976.0,99164.0,287045.0,42767.0
OKLAHOMA,False,2002,21996,False,False,3489700.0,17587.0,163.0,1573.0,,2966.0,12885.0,148128.0,35171.0,100185.0,12772.0
OREGON,False,2002,11650,False,False,3520355.0,10298.0,72.0,1238.0,,2742.0,6246.0,161145.0,25696.0,118925.0,16524.0
PENNSYLVANIA,False,2002,39724,False,False,12328827.0,49578.0,624.0,3731.0,,17163.0,28060.0,300868.0,55610.0,212441.0,32817.0
RHODE ISLAND,True,2002,3473,False,False,1068326.0,3051.0,41.0,395.0,,916.0,1699.0,35342.0,6415.0,24051.0,4876.0
SOUTH CAROLINA,False,2002,22896,False,False,4103770.0,33761.0,298.0,1959.0,,5774.0,25730.0,183808.0,43745.0,123196.0,16867.0
SOUTH DAKOTA,False,2002,2943,False,False,760437.0,1350.0,11.0,361.0,,117.0,861.0,15992.0,3034.0,12139.0,819.0
TENNESSEE,False,2002,18297,False,False,5789796.0,41562.0,420.0,2290.0,,9413.0,29439.0,249399.0,61248.0,161610.0,26541.0
TEXAS,False,2002,152446,False,False,21736925.0,126018.0,1302.0,8508.0,,37580.0,78628.0,1004274.0,212602.0,688992.0,102680.0
UTAH,False,2002,4285,False,False,2318789.0,5488.0,47.0,943.0,,1140.0,3358.0,97641.0,15124.0,74795.0,7722.0
VERMONT,True,2002,1361,False,False,616408.0,658.0,13.0,126.0,,77.0,442.0,14942.0,3489.0,10684.0,769.0
VIRGINIA,False,2002,30937,False,False,7287829.0,21256.0,388.0,1839.0,,6961.0,12068.0,207783.0,31757.0,157548.0,18478.0
WASHINGTON,False,2002,16263,False,False,6067060.0,20964.0,184.0,2734.0,,5797.0,12249.0,288967.0,54948.0,193526.0,40493.0
WEST VIRGINIA,False,2002,3575,False,False,1804884.0,4221.0,57.0,328.0,,657.0,3179.0,41099.0,9677.0,27524.0,3898.0
WISCONSIN,False,2002,21666,False,False,5439692.0,12238.0,154.0,1237.0,,4713.0,6134.0,164749.0,27926.0,123365.0,13458.0
WYOMING,False,2002,1641,False,False,498830.0,1364.0,15.0,148.0,,93.0,1108.0,16494.0,2448.0,13303.0,743.0
FEDERAL,False,2003,168144,,,,,,,,,,,,,
ALABAMA,False,2003,27614,False,False,4503726.0,19331.0,299.0,1656.0,,6038.0,11338.0,182241.0,43245.0,124039.0,14957.0
ALASKA,True,2003,4472,False,False,648280.0,3877.0,39.0,605.0,,446.0,2787.0,24386.0,3874.0,18051.0,2461.0
ARIZONA,False,2003,31084,False,False,5579222.0,28638.0,441.0,1856.0,,7619.0,18722.0,314335.0,58613.0,198725.0,56997.0
ARKANSAS,False,2003,12068,False,False,2727774.0,12449.0,180.0,911.0,,2227.0,9131.0,99084.0,25016.0,68061.0,6007.0
CALIFORNIA,False,2003,161785,False,False,35462712.0,205551.0,2407.0,9994.0,,63770.0,129380.0,1215086.0,242274.0,731486.0,241326.0
COLORADO,False,2003,19450,False,False,4547633.0,15757.0,185.0,1913.0,,3738.0,9921.0,179706.0,32394.0,124496.0,22816.0
CONNECTICUT,True,2003,18023,False,False,3486960.0,11045.0,112.0,698.0,,4212.0,6023.0,92981.0,16043.0,65568.0,11370.0
DELAWARE,True,2003,6630,False,False,818166.0,5525.0,21.0,370.0,,1441.0,3693.0,27943.0,6066.0,18933.0,2944.0
FLORIDA,False,2003,79594,False,False,16999181.0,124280.0,924.0,6727.0,,31523.0,85106.0,757696.0,170644.0,505489.0,81563.0
GEORGIA,False,2003,47208,False,False,8676460.0,39435.0,657.0,2234.0,,14043.0,22501.0,369589.0,79001.0,247196.0,43392.0
HAWAII,True,2003,5499,False,False,1248755.0,3400.0,22.0,367.0,,1168.0,1843.0,65867.0,11409.0,44807.0,9651.0
IDAHO,False,2003,5558,False,False,1367034.0,3362.0,26.0,535.0,,245.0,2556.0,40042.0,7837.0,29559.0,2646.0
ILLINOIS,False,2003,43418,False,True,12649087.0,70376.0,895.0,4189.0,,23786.0,41506.0,415885.0,78345.0,295907.0,41633.0
INDIANA,False,2003,21345,False,False,6199571.0,21842.0,338.0,1720.0,,6401.0,13383.0,208039.0,41582.0,145686.0,20771.0
IOWA,False,2003,8546,False,False,2941976.0,8175.0,50.0,796.0,,1131.0,6198.0,87554.0,17515.0,64400.0,5639.0
KANSAS,False,2003,9168,False,False,2724786.0,10831.0,125.0,1085.0,,2247.0,7374.0,109276.0,21973.0,79471.0,7832.0
KENTUCKY,False,2003,11660,False,True,4118189.0,10232.0,181.0,1124.0,,3224.0,5703.0,103370.0,26034.0,69083.0,8253.0
LOUISIANA,False,2003,19498,False,False,4493665.0,28622.0,584.0,1601.0,,7008.0,19429.0,193698.0,44572.0,129471.0,19655.0
MAINE,False,2003,1974,False,False,1309205.0,1422.0,16.0,354.0,,289.0,763.0,32078.0,6579.0,24043.0,1456.0
MARYLAND,False,2003,23768,False,False,5512310.0,38778.0,525.0,1358.0,,13302.0,23593.0,209418.0,38641.0,134372.0,36405.0
MASSACHUSETTS,False,2003,9828,False,False,6420357.0,30377.0,140.0,1848.0,,8011.0,20378.0,164543.0,34963.0,104069.0,25511.0
MICHIGAN,False,2003,49358,False,False,10082364.0,51550.0,612.0,5470.0,,11254.0,34214.0,330565.0,68316.0,208538.0,53711.0
MINNESOTA,False,2003,7569,False,False,5064172.0,13316.0,127.0,2092.0,,3906.0,7191.0,157663.0,27698.0,116216.0,13749.0
MISSISSIPPI,False,2003,15863,False,False,2882594.0,9336.0,267.0,1079.0,,3016.0,4974.0,106867.0,29564.0,68307.0,8996.0
MISSOURI,False,2003,29864,False,False,5719204.0,28067.0,289.0,1400.0,,6686.0,19692.0,233564.0,41997.0,161616.0,29951.0
MONTANA,False,2003,3053,False,False,918157.0,3351.0,30.0,246.0,,298.0,2777.0,28428.0,3722.0,22800.0,1906.0
NEBRASKA,False,2003,4073,False,False,1737475.0,5105.0,56.0,504.0,,1165.0,3380.0,65189.0,10133.0,48924.0,6132.0
NEVADA,False,2003,10584,False,False,2242207.0,13813.0,197.0,871.0,,5225.0,7520.0,96128.0,21958.0,53321.0,20849.0
NEW HAMPSHIRE,False,2003,2427,False,False,1288705.0,1937.0,17.0,438.0,,480.0,1002.0,26456.0,4589.0,19934.0,1933.0
NEW JERSEY,False,2003,25718,False,False,8642412.0,31488.0,406.0,1288.0,,13342.0,16452.0,220350.0,43457.0,142287.0,34606.0
NEW MEXICO,False,2003,6223,False,False,1878562.0,12535.0,116.0,940.0,,1937.0,9542.0,76816.0,18997.0,50595.0,7224.0
NEW YORK,False,2003,65388,False,False,19212425.0,89486.0,934.0,3775.0,,35790.0,48987.0,432079.0,75453.0,311422.0,45204.0
NORTH CAROLINA,False,2003,33874,False,False,8421190.0,38243.0,506.0,2139.0,,12229.0,23369.0,359660.0,100687.0,232081.0,26892.0
NORTH DAKOTA,False,2003,1100,False,False,633400.0,508.0,9.0,160.0,,53.0,286.0,13364.0,1959.0,10327.0,1078.0
OHIO,False,2003,44350,False,False,11437680.0,38185.0,526.0,4660.0,,16895.0,16104.0,417483.0,95083.0,281383.0,41017.0
OKLAHOMA,False,2003,22688,False,False,3506469.0,17758.0,206.0,1501.0,,3224.0,12827.0,151208.0,34846.0,103404.0,12958.0
OREGON,False,2003,12207,False,False,3564330.0,10506.0,68.0,1218.0,,2847.0,6373.0,169863.0,28562.0,122327.0,18974.0
PENNSYLVANIA,False,2003,40879,False,False,12370761.0,49210.0,647.0,3556.0,,17980.0,27027.0,300639.0,53918.0,213279.0,33442.0
RHODE ISLAND,True,2003,3576,False,False,1076084.0,3074.0,25.0,505.0,,830.0,1714.0,32231.0,5524.0,22320.0,4387.0
SOUTH CAROLINA,False,2003,22942,False,False,4148744.0,33455.0,303.0,1952.0,,5801.0,25399.0,187592.0,43993.0,127809.0,15790.0
SOUTH DAKOTA,False,2003,3019,False,False,764905.0,1329.0,10.0,356.0,,104.0,859.0,15324.0,2878.0,11572.0,874.0
TENNESSEE,False,2003,19141,False,False,5845208.0,40409.0,396.0,2129.0,,9413.0,28471.0,256565.0,63323.0,166769.0,26473.0
TEXAS,False,2003,153056,False,False,22103374.0,122246.0,1422.0,8025.0,,37017.0,75782.0,1016735.0,219877.0,698644.0,98214.0
UTAH,False,2003,4623,False,False,2352119.0,5889.0,60.0,919.0,,1258.0,3652.0,100084.0,16961.0,75321.0,7802.0
VERMONT,True,2003,1491,False,False,619343.0,707.0,15.0,126.0,,62.0,504.0,13803.0,3017.0,10132.0,654.0
VIRGINIA,False,2003,30915,False,False,7365284.0,20490.0,416.0,1807.0,,6713.0,11554.0,200449.0,29105.0,153367.0,17977.0
WASHINGTON,False,2003,16227,False,False,6131298.0,21272.0,182.0,2863.0,,5718.0,12509.0,291542.0,58271.0,192653.0,40618.0
WEST VIRGINIA,False,2003,3790,False,False,1811440.0,4627.0,73.0,311.0,,701.0,3542.0,42370.0,10498.0,28409.0,3463.0
WISCONSIN,False,2003,22153,False,False,5474290.0,12104.0,183.0,1202.0,,4397.0,6322.0,157684.0,26546.0,118775.0,12363.0
WYOMING,False,2003,1630,False,False,502111.0,1314.0,14.0,136.0,,84.0,1080.0,16648.0,2611.0,13239.0,798.0
FEDERAL,False,2004,177600,,,,,,,,,,,,,
ALABAMA,False,2004,25635,False,False,4525375.0,19324.0,254.0,1742.0,,6042.0,11286.0,182340.0,44666.0,123650.0,14024.0
ALASKA,True,2004,4534,False,False,657755.0,4159.0,37.0,558.0,,447.0,3117.0,22172.0,3773.0,16159.0,2240.0
ARIZONA,False,2004,32384,False,False,5739879.0,28952.0,414.0,1896.0,,7721.0,18921.0,291203.0,56885.0,179012.0,55306.0
ARKANSAS,False,2004,12577,False,False,2750000.0,13814.0,176.0,1183.0,,2372.0,10083.0,110911.0,30151.0,74242.0,6518.0
CALIFORNIA,False,2004,163939,False,False,35842038.0,189175.0,2392.0,9615.0,,61768.0,115400.0,1227194.0,245903.0,728687.0,252604.0
COLORADO,False,2004,19655,False,False,4601821.0,17121.0,201.0,1945.0,,3739.0,11236.0,180322.0,33010.0,123308.0,24004.0
CONNECTICUT,True,2004,17993,False,False,3498966.0,10113.0,100.0,755.0,,4188.0,5070.0,93942.0,15959.0,66770.0,11213.0
DELAWARE,True,2004,6753,False,False,830069.0,5105.0,28.0,357.0,,1343.0,3377.0,27256.0,5669.0,19285.0,2302.0
FLORIDA,False,2004,83165,False,False,17385430.0,123754.0,946.0,6612.0,,29997.0,86199.0,727141.0,166332.0,482484.0,78325.0
GEORGIA,False,2004,51104,False,False,8918129.0,40217.0,613.0,2387.0,,13656.0,23561.0,376656.0,82992.0,249426.0,44238.0
HAWAII,True,2004,5555,False,False,1262124.0,3213.0,33.0,333.0,,944.0,1903.0,60525.0,10827.0,41078.0,8620.0
IDAHO,False,2004,5758,False,False,1395140.0,3452.0,31.0,594.0,,241.0,2586.0,38799.0,7671.0,28389.0,2739.0
ILLINOIS,False,2004,44054,False,True,12712016.0,69365.0,780.0,4220.0,,22582.0,41783.0,403486.0,76088.0,287025.0,40373.0
INDIANA,False,2004,21984,False,False,6226537.0,20294.0,316.0,1803.0,,6373.0,11802.0,211929.0,42168.0,148670.0,21091.0
IOWA,False,2004,8525,False,False,2952904.0,8499.0,44.0,782.0,,1160.0,6513.0,85775.0,17928.0,62214.0,5633.0
KANSAS,False,2004,8991,False,False,2733697.0,10330.0,122.0,1142.0,,1812.0,7254.0,109771.0,20146.0,81115.0,8510.0
KENTUCKY,False,2004,13322,False,False,4141835.0,10152.0,236.0,1238.0,,3268.0,5410.0,105209.0,25902.0,70535.0,8772.0
LOUISIANA,False,2004,19470,False,False,4506685.0,28844.0,574.0,1616.0,,6564.0,20090.0,199153.0,45359.0,134080.0,19714.0
MAINE,False,2004,2013,False,False,1314985.0,1364.0,18.0,315.0,,289.0,742.0,31740.0,6341.0,24096.0,1303.0
MARYLAND,False,2004,23289,False,False,5561332.0,38961.0,521.0,1317.0,,12772.0,24351.0,202474.0,36704.0,129888.0,35882.0
MASSACHUSETTS,False,2004,9825,False,False,6407382.0,29489.0,171.0,1794.0,,7484.0,20040.0,158150.0,34497.0,101605.0,22048.0
MICHIGAN,False,2004,48831,False,False,10104206.0,49737.0,643.0,5482.0,,11336.0,32276.0,309805.0,64233.0,194988.0,50584.0
MINNESOTA,False,2004,7983,False,False,5096546.0,13751.0,113.0,2123.0,,4070.0,7445.0,155019.0,28048.0,113453.0,13518.0
MISSISSIPPI,False,2004,16359,False,False,2900768.0,8568.0,227.0,1161.0,,2503.0,4677.0,100980.0,27661.0,65440.0,7879.0
MISSOURI,False,2004,30682,False,False,5759532.0,28226.0,354.0,1479.0,,6630.0,19763.0,224629.0,40472.0,158264.0,25893.0
MONTANA,False,2004,2703,False,False,926920.0,2723.0,30.0,273.0,,233.0,2187.0,27215.0,3515.0,22082.0,1618.0
NEBRASKA,False,2004,4137,False,False,1747704.0,5393.0,40.0,620.0,,1138.0,3595.0,61512.0,9826.0,46399.0,5287.0
NEVADA,False,2004,11033,False,False,2332898.0,14379.0,172.0,954.0,,4905.0,8348.0,98215.0,23142.0,52438.0,22635.0
NEW HAMPSHIRE,False,2004,2443,False,False,1299169.0,2202.0,17.0,466.0,,500.0,1219.0,26658.0,4979.0,19723.0,1956.0
NEW JERSEY,False,2004,25435,False,False,8685166.0,30943.0,392.0,1331.0,,13076.0,16144.0,211313.0,41030.0,139977.0,30306.0
NEW MEXICO,False,2004,6403,False,False,1903006.0,13081.0,169.0,1039.0,,2062.0,9811.0,79895.0,19924.0,52069.0,7902.0
NEW YORK,False,2004,64024,False,False,19280727.0,84914.0,889.0,3608.0,,33506.0,46911.0,422734.0,70696.0,311036.0,41002.0
NORTH CAROLINA,False,2004,35544,False,False,8540468.0,38244.0,532.0,2339.0,,11782.0,23591.0,355328.0,101193.0,227147.0,26988.0
NORTH DAKOTA,False,2004,1130,False,False,636308.0,558.0,8.0,177.0,,43.0,330.0,12493.0,2040.0,9516.0,937.0
OHIO,False,2004,44150,False,False,11450143.0,38787.0,506.0,4744.0,,17429.0,16108.0,419337.0,96518.0,282168.0,40651.0
OKLAHOMA,False,2004,22621,False,False,3523546.0,17635.0,186.0,1557.0,,3090.0,12802.0,149472.0,35244.0,101271.0,12957.0
OREGON,False,2004,12652,False,False,3591363.0,10724.0,90.0,1283.0,,2751.0,6600.0,166475.0,30072.0,117868.0,18535.0
PENNSYLVANIA,False,2004,40506,False,False,12394471.0,50998.0,650.0,3535.0,,18474.0,28339.0,299611.0,54443.0,214199.0,30969.0
RHODE ISLAND,True,2004,3169,False,False,1079916.0,2673.0,26.0,320.0,,731.0,1596.0,31166.0,5465.0,21623.0,4078.0
SOUTH CAROLINA,False,2004,22650,False,False,4197892.0,33160.0,286.0,1772.0,,5468.0,25634.0,190456.0,43739.0,130991.0,15726.0
SOUTH DAKOTA,False,2004,3053,False,False,770621.0,1319.0,17.0,336.0,,112.0,854.0,14885.0,3148.0,10890.0,847.0
TENNESSEE,False,2004,19331,False,False,5893298.0,41113.0,357.0,2282.0,,8863.0,29611.0,254991.0,60386.0,169828.0,24777.0
TEXAS,False,2004,156682,False,False,22471549.0,121554.0,1364.0,8388.0,,35817.0,75985.0,1010702.0,220118.0,696507.0,94077.0
UTAH,False,2004,4720,False,False,2420708.0,5647.0,46.0,967.0,,1236.0,3398.0,97762.0,15225.0,74889.0,7648.0
VERMONT,True,2004,1968,False,False,621233.0,713.0,16.0,160.0,,78.0,459.0,14559.0,3435.0,10537.0,587.0
