jurisdiction,includes_jails,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Michigan,0,"48,849","50,591","49,358","48,831","49,493","51,515","50,233","48,738","45,478","44,113","42,904","43,594","43,704","43,359","42,628","41,122"
Minnesota,0,"6,406","6,855","7,569","7,983","8,718","8,814","9,192","9,031","9,500","9,397","9,309","9,421","9,391","9,576","9,578","9,509"
Mississippi,0,"15,131","15,355","15,863","16,359","16,089","16,384","17,478","17,896","17,212","16,454","15,390","15,791","15,591","13,069","13,967","13,720"
Missouri,0,"28,575","29,795","29,864","30,682","30,415","30,116","29,823","30,137","30,519","30,577","30,969","31,205","31,499","31,903","32,295","32,427"
Montana,0,"2,795","2,870","3,053","2,703","2,822","2,948","2,909","2,910","3,085","3,137","3,125","3,095","3,125","3,119","3,176","3,199"
Nebraska,0,"3,915","4,048","4,073","4,137","4,405","4,399","4,402","4,470","4,490","4,608","4,657","4,721","5,012","5,228","5,133","5,167"
Nevada,0,"9,862","10,101","10,584","11,033","11,662","12,754","13,311","12,877","12,570","12,192","12,159","12,594","12,789","12,693","13,235","13,932"
New Hampshire,0,"2,419","2,475","2,427","2,443","2,423","2,676","2,759","2,854","2,915","2,617","2,423","2,568","2,623","2,723","2,661","2,599"
New Jersey,0,"26,052","26,301","25,718","25,435","25,619","25,554","25,354","24,835","24,115","24,488","23,642","23,050","22,263","21,394","20,294","19,458"
New Mexico,0,"5,668","5,991","6,223","6,403","6,571","6,639","6,429","6,321","6,584","6,659","6,687","6,640","6,767","6,948","7,104","6,996"
New York,0,"67,554","66,925","65,388","64,024","63,032","63,538","62,738","60,198","58,479","56,420","55,196","54,058","53,312","52,362","51,485","50,611"
North Carolina,0,"32,203","32,918","33,874","35,544","36,646","37,725","38,240","39,957","40,133","40,375","39,662","37,378","37,176","37,348","36,888","35,970"
North Dakota,0,"1,088","1,117","1,100","1,130","1,318","1,337","1,392","1,379","1,436","1,416","1,385","1,413","1,576","1,696","1,772","1,639"
Ohio,0,"44,868","45,284","44,350","44,150","45,189","48,482","49,894","50,884","50,783","51,709","50,961","50,872","51,711","51,521","52,240","52,172"
Oklahoma,0,"21,719","21,996","22,688","22,621","22,907","22,873","23,778","23,676","24,053","24,147","23,750","24,370","25,364","26,493","27,321","26,367"
Oregon,0,"10,950","11,650","12,207","12,652","12,887","13,191","13,373","13,541","13,735","13,859","13,728","14,123","14,605","14,492","14,655","14,579"
Pennsylvania,0,"37,641","39,724","40,879","40,506","41,941","43,971","45,530","48,736","50,485","48,087","49,710","50,228","49,971","49,174","48,846","48,287"
Rhode Island,1,"3,364","3,473","3,576","3,169","3,414","3,713","3,745","3,739","3,413","3,159","3,032","3,042","3,168","3,133","2,982","2,887"
South Carolina,0,"21,719","22,896","22,942","22,650","22,456","22,930","23,578","23,685","23,685","23,009","22,363","21,867","21,534","20,948","20,457","20,376"
South Dakota,0,"2,799","2,943","3,019","3,053","3,346","3,316","3,276","3,352","3,390","3,393","3,562","3,596","3,612","3,507","3,536","3,770"
Tennessee,0,"17,466","18,297","19,141","19,331","19,270","19,312","19,268","19,379","19,932","20,037","19,831","19,817","20,758","20,815","19,800","21,539"
Texas,0,"148,480","152,446","153,056","156,682","157,081","158,510","158,576","159,237","158,542","160,242","159,956","155,195","155,377","154,247","152,492","151,276"
Utah,0,"4,145","4,285","4,623","4,720","5,058","5,031","5,165","5,132","5,244","5,442","5,294","5,309","5,382","5,307","4,831","4,502"
Vermont,1,"1,400","1,361","1,491","1,968","2,078","2,215","2,116","2,116","2,220","2,079","2,053","2,034","2,078","1,979","1,750","1,735"
Virginia,0,"31,472","30,937","30,915","31,072","30,722","30,823","32,977","32,585","30,995","31,911","30,531","29,708","29,985","30,050","30,430","29,882"
Washington,0,"15,226","16,263","16,227","16,503","16,781","16,827","16,911","17,188","17,255","17,028","17,109","16,919","17,760","17,180","17,222","17,228"
West Virginia,0,"3,403","3,575","3,790","3,990","4,036","4,367","4,907","4,896","5,062","5,072","5,149","5,335","5,708","5,867","5,925","5,899"
Wisconsin,0,"20,766","21,666","22,153","22,152","21,921","22,564","22,839","22,282","22,262","22,033","22,388","22,419","22,443","22,572","22,914","23,163"
Wyoming,0,"1,487","1,641","1,630","1,765","2,096","2,035","1,927","1,704","1,743","2,092","2,162","2,187","2,288","2,369","2,400","2,352"
